Winner for lottery draw 0: [pid: 30, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.028000ms.
Winner for lottery draw 6298: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6299: [pid: 1, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6300: [pid: 1880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6301: [pid: 1911, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6302: [pid: 471, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6303: [pid: 12, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6304: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6305: [pid: 1375, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6306: [pid: 249, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6307: [pid: 797, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6308: [pid: 1790, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6309: [pid: 18, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6310: [pid: 1512, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6311: [pid: 800, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6312: [pid: 136, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6313: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6314: [pid: 1797, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6315: [pid: 2086, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6316: [pid: 1880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6317: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6318: [pid: 16, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6319: [pid: 545, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6320: [pid: 2202, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6321: [pid: 3840, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6322: [pid: 142, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6323: [pid: 253, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6324: [pid: 37, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6325: [pid: 943, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6326: [pid: 242, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6327: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6328: [pid: 382, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6329: [pid: 382, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6330: [pid: 1512, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6331: [pid: 153, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6332: [pid: 1797, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6333: [pid: 6, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6334: [pid: 1813, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6335: [pid: 1671, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6336: [pid: 3880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6337: [pid: 1627, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6338: [pid: 152, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6339: [pid: 144, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6340: [pid: 398, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6341: [pid: 1627, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6342: [pid: 1911, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6343: [pid: 1584, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6344: [pid: 39, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6345: [pid: 3845, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6346: [pid: 922, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6347: [pid: 922, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6348: [pid: 20, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6349: [pid: 2081, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6350: [pid: 2074, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6351: [pid: 1550, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6352: [pid: 9, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6353: [pid: 142, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6354: [pid: 1627, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6355: [pid: 397, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6356: [pid: 1058, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6357: [pid: 151, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6358: [pid: 1120, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6359: [pid: 780, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6360: [pid: 1666, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6361: [pid: 152, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6362: [pid: 3261, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6363: [pid: 1666, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6364: [pid: 1759, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6365: [pid: 940, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6366: [pid: 1580, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6367: [pid: 761, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6368: [pid: 1818, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6369: [pid: 29, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6370: [pid: 1746, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6371: [pid: 139, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6372: [pid: 800, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6373: [pid: 242, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6374: [pid: 2079, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6375: [pid: 247, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6376: [pid: 144, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6377: [pid: 36, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6378: [pid: 7631, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6379: [pid: 1030, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6380: [pid: 7224, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6381: [pid: 1618, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6382: [pid: 10, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6383: [pid: 1782, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6384: [pid: 29, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6385: [pid: 152, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6386: [pid: 7279, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6387: [pid: 141, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6388: [pid: 801, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6389: [pid: 1377, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6390: [pid: 397, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6391: [pid: 399, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6392: [pid: 155, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6393: [pid: 1419, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6394: [pid: 1759, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6395: [pid: 191, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6396: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6397: [pid: 7177, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6398: [pid: 27, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6399: [pid: 282, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6400: [pid: 1618, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6401: [pid: 1490, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6402: [pid: 7224, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6403: [pid: 1512, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6404: [pid: 1601, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6405: [pid: 349, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6406: [pid: 7631, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6407: [pid: 135, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6408: [pid: 1029, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6409: [pid: 473, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6410: [pid: 7631, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6411: [pid: 246, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6412: [pid: 3880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6413: [pid: 151, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6414: [pid: 714, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.016000ms.
Winner for lottery draw 6415: [pid: 141, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6416: [pid: 1666, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6417: [pid: 17, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6418: [pid: 8895, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6419: [pid: 21, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6420: [pid: 349, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6421: [pid: 353, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6422: [pid: 2202, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6423: [pid: 1550, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6424: [pid: 38, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6425: [pid: 366, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6426: [pid: 17, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6427: [pid: 2, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6428: [pid: 27, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6429: [pid: 1584, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6430: [pid: 137, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6431: [pid: 800, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6432: [pid: 243, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6433: [pid: 429, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6434: [pid: 1610, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6435: [pid: 1601, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6436: [pid: 1699, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6437: [pid: 4199, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6438: [pid: 1118, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6439: [pid: 4199, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6440: [pid: 1666, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6441: [pid: 1818, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6442: [pid: 32, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6443: [pid: 7785, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6444: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6445: [pid: 245, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6446: [pid: 7279, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6447: [pid: 135, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6448: [pid: 354, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6449: [pid: 915, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6450: [pid: 366, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6451: [pid: 2, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6452: [pid: 1408, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6453: [pid: 3840, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6454: [pid: 1375, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6455: [pid: 943, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6456: [pid: 382, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6457: [pid: 1916, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6458: [pid: 28, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6459: [pid: 1058, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6460: [pid: 397, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6461: [pid: 155, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6462: [pid: 1584, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6463: [pid: 780, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6464: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6465: [pid: 714, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6466: [pid: 398, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6467: [pid: 285, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6468: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6469: [pid: 12, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6470: [pid: 863, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6471: [pid: 1551, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6472: [pid: 1750, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6473: [pid: 1699, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6474: [pid: 245, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6475: [pid: 148, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6476: [pid: 248, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6477: [pid: 2202, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6478: [pid: 253, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6479: [pid: 14, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6480: [pid: 780, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6481: [pid: 259, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6482: [pid: 1619, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6483: [pid: 544, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6484: [pid: 1030, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6485: [pid: 2080, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6486: [pid: 797, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6487: [pid: 1375, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6488: [pid: 1, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6489: [pid: 18, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6490: [pid: 1813, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6491: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6492: [pid: 283, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6493: [pid: 1900, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6494: [pid: 1666, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6495: [pid: 2079, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6496: [pid: 40, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6497: [pid: 2109, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6498: [pid: 137, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6499: [pid: 429, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6500: [pid: 9, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6501: [pid: 1333, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6502: [pid: 282, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6503: [pid: 3840, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6504: [pid: 1582, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6505: [pid: 253, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6506: [pid: 881, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6507: [pid: 6, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 6508: [pid: 8233, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6509: [pid: 400, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6510: [pid: 8376, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6511: [pid: 252, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6512: [pid: 1578, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6513: [pid: 4014, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6514: [pid: 143, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6515: [pid: 2086, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6516: [pid: 1402, nice: -11, tickets: 77, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6517: [pid: 178, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6518: [pid: 1579, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6519: [pid: 3663, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6520: [pid: 4, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6521: [pid: 409, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6522: [pid: 800, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6523: [pid: 1582, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6524: [pid: 804, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6525: [pid: 940, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6526: [pid: 354, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6527: [pid: 259, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6528: [pid: 247, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6529: [pid: 1116, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6530: [pid: 366, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6531: [pid: 1656, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6532: [pid: 8895, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6533: [pid: 245, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6534: [pid: 763, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6535: [pid: 23, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6536: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6537: [pid: 151, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6538: [pid: 152, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 6539: [pid: 1526, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6540: [pid: 27, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6541: [pid: 1623, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6542: [pid: 248, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6543: [pid: 811, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6544: [pid: 11, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 6545: [pid: 1028, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 6546: [pid: 135, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6547: [pid: 3663, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 6548: [pid: 2195, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
